ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Selection,Text,Selection,Text,Date
29,24,4,Q04,1,2024-09-29 10:26:00.528126724 +0000 UTC,14,1,European Commission,2,Upper Management (e.g. Head of Unit),2023
88,26,4,Q04,1,2024-09-30 13:42:23.200341227 +0000 UTC,90,1,European Commission,1,Senior Executive Leadership (e.g. Director-General),2023
116,28,4,Q04,1,2024-09-30 14:08:03.284515121 +0000 UTC,6,5,Europäische Investitionsbank,5,Fachfunktion (z. B. Programmbeauftragte:r),2023
188,40,4,Q04,1,2024-10-05 20:22:05.939297062 +0000 UTC,20,1,European Commission,1,Senior Executive Leadership (e.g. Director-General),2022
250,47,4,Q04,1,2024-10-14 08:20:24.632659304 +0000 UTC,36,1,European Commission,5,Professional Role (e.g. Program Officer),2022
289,51,4,Q04,1,2024-10-17 18:35:30.787127543 +0000 UTC,17,2,European External Action Service (EEAS),2,Upper Management (e.g. Head of Unit),2023
348,55,4,Q04,1,2024-10-18 14:31:05.231967032 +0000 UTC,33,1,European Commission,1,Senior Executive Leadership (e.g. Director-General),2014
365,57,4,Q04,1,2024-10-18 17:36:27.604945515 +0000 UTC,17,1,European Commission,5,Professional Role (e.g. Program Officer),2018
461,64,4,Q04,1,2024-10-24 11:53:55.700649506 +0000 UTC,16,1,European Commission,6,Support and Junior Role (e.g. Policy Assistant),2022
503,69,4,Q04,1,2024-11-05 16:14:32.278598755 +0000 UTC,19,1,European Commission,3,Middle Management (e.g. Head of Department),1997
617,76,4,Q04,1,2024-11-13 15:41:19.085735223 +0000 UTC,39,1,European Commission,6,Support and Junior Role (e.g. Policy Assistant),2022
651,94,4,Q04,1,2024-11-14 08:48:15.548756706 +0000 UTC,54,1,European Commission,98,Prefer not to say,2007
669,95,4,Q04,1,2024-11-14 09:48:18.852910898 +0000 UTC,27,2,European External Action Service (EEAS),6,Support and Junior Role (e.g. Policy Assistant),2019
722,98,4,Q04,1,2024-11-21 09:43:14.959046318 +0000 UTC,23,1,European Commission,5,Professional Role (e.g. Program Officer),2022
772,102,4,Q04,1,2024-11-27 14:13:39.86047931 +0000 UTC,35,2,European External Action Service (EEAS),5,Professional Role (e.g. Program Officer),2014
800,103,4,Q04,1,2024-11-27 16:33:47.007200514 +0000 UTC,25,1,European Commission,3,Middle Management (e.g. Head of Department),1992
842,108,4,Q04,1,2024-12-02 07:07:46.080140704 +0000 UTC,42,1,European Commission,5,Professional Role (e.g. Program Officer),2007
880,115,4,Q04,1,2024-12-10 15:50:48.999175497 +0000 UTC,68,2,European External Action Service (EEAS),1,Senior Executive Leadership (e.g. Director-General),2023
915,117,4,Q04,1,2024-12-11 12:41:49.420463429 +0000 UTC,81,2,European External Action Service (EEAS),8,Head of Component in EUAM UA,2020
946,119,4,Q04,1,2024-12-11 13:59:55.036453109 +0000 UTC,47,6,EUAM Ukraine,2,Upper Management (e.g. Head of Unit),2024
