ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Row,Value,ColumnIndex,Text
33,24,8,QA2,2,2024-09-29 10:26:56.528681509 +0000 UTC,10,1,-3,0,adsfa
33,24,8,QA2,2,2024-09-29 10:26:56.528681509 +0000 UTC,10,1,1,4,adfasdfa
64,21,8,QA2,2,2024-09-29 10:58:39.824829564 +0000 UTC,9,1,0,3,Europe
92,26,8,QA2,2,2024-09-30 13:57:01.639204881 +0000 UTC,21,1,3,6,peace
92,26,8,QA2,2,2024-09-30 13:57:01.639204881 +0000 UTC,21,1,0,3,bureaucracy
120,28,8,QA2,2,2024-09-30 14:08:39.692265418 +0000 UTC,10,1,0,3,lklklk
192,40,8,QA2,2,2024-10-05 20:25:27.491957868 +0000 UTC,51,1,2,5,Support
192,40,8,QA2,2,2024-10-05 20:25:27.491957868 +0000 UTC,51,1,1,4,Relevant
192,40,8,QA2,2,2024-10-05 20:25:27.491957868 +0000 UTC,51,1,3,6,Correct
254,47,8,QA2,2,2024-10-14 08:23:55.087898922 +0000 UTC,48,1,1,4,Unity
254,47,8,QA2,2,2024-10-14 08:23:55.087898922 +0000 UTC,48,1,1,4,Agreement
254,47,8,QA2,2,2024-10-14 08:23:55.087898922 +0000 UTC,48,1,3,6,Peace
293,51,8,QA2,2,2024-10-17 18:36:55.436578229 +0000 UTC,22,1,3,6,Peace
352,55,8,QA2,2,2024-10-18 14:34:41.95979388 +0000 UTC,88,1,3,6,"Free, democratic, wealthy and safe community"
369,57,8,QA2,2,2024-10-18 17:38:22.463009028 +0000 UTC,40,1,3,6,welfare
369,57,8,QA2,2,2024-10-18 17:38:22.463009028 +0000 UTC,40,1,3,6,peace
369,57,8,QA2,2,2024-10-18 17:38:22.463009028 +0000 UTC,40,1,0,3,compromise
465,64,8,QA2,2,2024-10-24 11:55:26.404642429 +0000 UTC,20,1,3,6,Prosperity
507,69,8,QA2,2,2024-11-05 16:19:06.683596768 +0000 UTC,98,1,3,6,Peace
507,69,8,QA2,2,2024-11-05 16:19:06.683596768 +0000 UTC,98,1,1,4,Prosperity
507,69,8,QA2,2,2024-11-05 16:19:06.683596768 +0000 UTC,98,1,2,5,Democracy
507,69,8,QA2,2,2024-11-05 16:19:06.683596768 +0000 UTC,98,1,1,4,Solidarity and partnership
627,76,8,QA2,2,2024-11-13 15:47:23.272519534 +0000 UTC,81,1,3,6,Unity
627,76,8,QA2,2,2024-11-13 15:47:23.272519534 +0000 UTC,81,1,3,6,Engagement 
627,76,8,QA2,2,2024-11-13 15:47:23.272519534 +0000 UTC,81,1,3,6,Togetherness
674,95,8,QA2,2,2024-11-14 09:51:58.04758045 +0000 UTC,131,1,1,4,Embers
674,95,8,QA2,2,2024-11-14 09:51:58.04758045 +0000 UTC,131,1,-1,2,Ouroboros
