ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Selection,Text
50,24,25,QC3,4,2024-09-29 10:30:38.761011916 +0000 UTC,3,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
81,21,25,QC3,4,2024-09-29 11:01:46.144563753 +0000 UTC,4,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
109,26,25,QC3,4,2024-09-30 14:03:15.470361454 +0000 UTC,4,4,The European Union
209,40,25,QC3,4,2024-10-05 20:44:59.245915923 +0000 UTC,17,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
271,47,25,QC3,4,2024-10-14 08:45:10.307772326 +0000 UTC,9,4,The European Union
310,51,25,QC3,4,2024-10-17 19:08:04.767052028 +0000 UTC,8,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
386,57,25,QC3,4,2024-10-18 17:50:49.312386159 +0000 UTC,6,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
413,55,25,QC3,4,2024-10-21 09:36:50.595685666 +0000 UTC,12,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
482,64,25,QC3,4,2024-10-24 12:07:59.903007296 +0000 UTC,31,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
524,69,25,QC3,4,2024-11-05 16:50:10.133683553 +0000 UTC,24,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
644,76,25,QC3,4,2024-11-13 16:49:58.558430492 +0000 UTC,15,98,Don’t know
680,94,25,QC3,4,2024-11-14 09:55:46.07914528 +0000 UTC,35,4,The European Union
700,95,25,QC3,4,2024-11-14 10:12:35.280495393 +0000 UTC,81,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
743,98,25,QC3,4,2024-11-21 10:46:17.661722334 +0000 UTC,19,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
793,102,25,QC3,4,2024-11-27 15:23:32.689867624 +0000 UTC,430,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
821,103,25,QC3,4,2024-11-27 16:55:05.567001634 +0000 UTC,10,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
863,108,25,QC3,4,2024-12-02 08:05:45.445313533 +0000 UTC,100,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
901,115,25,QC3,4,2024-12-10 16:23:51.568254561 +0000 UTC,12,4,The European Union
939,117,25,QC3,4,2024-12-11 13:21:08.036542515 +0000 UTC,21,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
967,119,25,QC3,4,2024-12-11 14:34:57.363669338 +0000 UTC,21,9,International organization (other than the EU) or another country
1073,132,25,QC3,4,2024-12-17 11:59:06.656601316 +0000 UTC,21,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
1196,148,25,QC3,4,2025-01-05 16:44:52.44893245 +0000 UTC,14,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
1224,149,25,QC3,4,2025-01-05 16:56:45.241383944 +0000 UTC,3,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
1254,151,25,QC3,4,2025-01-05 17:17:49.122524812 +0000 UTC,3,3,"A research team at the University of St.Gallen, Switzerland (funded through the Horizon Europe grant scheme)"
